类型,文件,新增代码行数
新建文件,.github/workflows/ci.yml,69
新建文件,filter/net-limit.cpp,1996
新建文件,observe/lsns.cpp,1272
新建文件,script/gen-source-pkg.sh,340
新建文件,script/proc_stat_parser.py,29
新建文件,so/bpf-linker.cpp,207
新建文件,so/bpf-linker.h,49
新建文件,so/btf-preprocessor.cpp,386
新建文件,so/btf-preprocessor.h,103
新建文件,so/map-resolver.cpp,41
新建文件,so/map-resolver.h,34
新建文件,so/pin-registry.cpp,161
新建文件,so/pin-registry.h,49
新建文件,tools/extern-prep.cpp,134
修改文件,.gitignore,1
修改文件,Makefile,2
修改文件,README.md,3
修改文件,bpf,1
修改文件,docs/index.html,1
修改文件,filter/Makefile,19
修改文件,observe/Makefile,16
修改文件,observe/lsock.cpp,1
修改文件,observe/peek-fd.cpp,1
修改文件,observe/spinlock_ob.c,32
修改文件,observe/trace-file.cpp,1
修改文件,observe/urblat.c,2
修改文件,policy/Makefile,16
修改文件,script/build-deb.sh,2
修改文件,script/build-rpm.sh,2
修改文件,script/get_pid_stat.py,7
修改文件,script/patch_skel.py,1
修改文件,script/proc_stat_analyzer.py,8
修改文件,script/proc_stat_simple.py,5
修改文件,script/thread_stat_analyzer.py,5
修改文件,script/thread_stat_simple.py,5
修改文件,so/data-map.cpp,1
修改文件,tools/Makefile,7
修改文件,version,1
汇总,新建文件新增代码总数,4870
汇总,修改文件新增代码总数,140
汇总,全项目新增代码总数,5010
